id,name,now_cost,position,team,selected_rank,influence,points_per_game,starts,form,goals_scored,expected_goals_per_90,transfers_out_event,expected_goals_conceded,cost_change_event_fall,penalties_order,ict_index_rank_type,team_join_date,creativity,influence_rank,transfers_out,ep_next,saves_per_90,ep_this,cost_change_start,goals_conceded,expected_goal_involvements_per_90,points_per_game_rank,region,transfers_in,chance_of_playing_this_round,direct_freekicks_order,penalties_saved,now_cost_rank,creativity_rank_type,expected_goal_involvements,transfers_in_event,expected_assists_per_90,news,selected_rank_type,minutes,cost_change_start_fall,assists,ict_index,goals_conceded_per_90,starts_per_90,threat,influence_rank_type,value_form,creativity_rank,now_cost_rank_type,red_cards,news_added,corners_and_indirect_freekicks_order,expected_goals_conceded_per_90,event_points,total_points,threat_rank,can_select,web_name,threat_rank_type,points_per_game_rank_type,chance_of_playing_next_round,cost_change_event,form_rank,bonus,value_season,ict_index_rank,selected_by_percent,in_dreamteam,clean_sheets_per_90,expected_goals,penalties_missed,own_goals,yellow_cards,clean_sheets,form_rank_type,expected_assists,bps,dreamteam_count,status,saves
582,Jake O'Brien,45,DEF,Everton,406,5.0,0.5,0,0.0,0,0.0,11,0.82,1,,167,2024-07-30,0.5,461,29220,-0.5,0.0,0.0,-5,1,0.0,496,104.0,6418,,,0,426,162,0.00,10,0.0,,146,34,5,0,0.5,2.65,0.0,0.0,163,0.0,447,77,0,,,2.17,0,1,623,True,O'Brien,242,173,,-1,588,0,0.2,479,0.1,False,0.0,0.00,0,0,1,0,234,0.00,1,0,a,0
603,Harrison Armstrong,45,MID,Everton,373,1.8,0.7,0,0.2,0,0.71,50,0.45,0,,214,2024-08-09,10.9,481,33398,-0.3,0.0,0.2,0,1,0.71,487,241.0,33442,,,0,468,211,0.37,22,0.0,,130,47,0,0,2.2,1.91,0.0,9.0,224,0.0,389,294,0,,,0.86,0,2,368,True,Armstrong,195,231,,0,374,0,0.4,450,0.2,False,0.0,0.37,0,0,1,0,178,0.00,1,0,a,0
614,Jenson Metcalfe,45,MID,Everton,688,0.0,0.0,0,0.0,0,0.0,1,0.00,0,,261,,0.0,635,1054,0.0,0.0,0.0,0,0,0.0,641,,777,0.0,,0,413,263,0.00,0,0.0,Season long loan to Chesterfield,301,0,0,0,0.0,0.0,0.0,0.0,262,0.0,630,251,0,2024-09-01T09:13:11.888586Z,,0.0,0,0,615,False,Metcalfe,257,265,0.0,0,578,0,0.0,634,0.0,False,0.0,0.00,0,0,0,0,225,0.00,0,0,u,0
624,Asmir Begovic,40,GKP,Everton,326,0.0,0.0,0,0.0,0,0.0,67,0.00,0,,53,2024-08-23,0.0,510,19744,-0.5,0.0,0.0,0,0,0.0,517,27.0,38382,,,0,603,29,0.00,18,0.0,,50,0,0,0,0.0,0.0,0.0,0.0,53,0.0,484,45,0,,,0.0,0,0,448,True,Begovic,16,53,,0,413,0,0.0,509,0.2,False,0.0,0.00,0,0,0,0,41,0.00,0,0,a,0
627,Roman Dixon,40,DEF,Everton,470,15.4,0.0,1,0.0,0,0.0,22,2.43,0,,159,2024-08-09,0.3,433,9244,-0.5,0.0,0.0,0,4,0.0,545,241.0,10979,,,0,650,163,0.00,5,0.0,,168,90,0,0,1.6,4.0,1.0,0.0,156,0.0,449,186,0,,,2.43,0,0,484,True,Dixon,179,194,,0,448,0,0.0,462,0.1,False,0.0,0.00,0,0,0,0,165,0.00,0,0,a,0
651,Orel Mangala,50,MID,Everton,597,134.6,2.0,11,1.4,1,0.07,27,13.64,0,,128,2024-08-30,116.2,265,3083,0.9,0.0,1.4,0,7,0.12,266,21.0,3962,,,0,196,123,1.36,6,0.05,,249,987,0,0,32.1,0.64,1.0,69.0,115,0.3,194,121,0,,,1.24,0,32,236,True,Mangala,133,117,,0,196,0,6.4,254,0.0,False,0.36,0.79,0,0,2,4,89,0.57,140,0,a,0
678,Callum Bates,45,MID,Everton,674,0.0,0.0,0,0.0,0,0.0,7,0.00,0,,284,2024-11-08,0.0,660,1299,-0.5,0.0,0.0,0,0,0.0,665,241.0,1679,,,0,446,285,0.00,6,0.0,,296,0,0,0,0.0,0.0,0.0,0.0,285,0.0,654,280,0,,,0.0,0,0,641,True,Bates,280,287,,0,606,0,0.0,659,0.0,False,0.0,0.00,0,0,0,0,250,0.00,0,0,a,0
10,Reiss Nelson,50,MID,Fulham,513,131.6,2.2,5,0.0,1,0.2,22,6.13,0,,89,2024-08-30,223.9,268,17823,0.0,0.0,0.0,0,9,0.38,224,241.0,15909,0.0,,0,197,75,2.03,2,0.18,Hamstring injury - Expected back 01 Feb,197,483,0,1,55.1,1.68,0.93,195.0,117,0.0,103,122,0,2024-12-05T00:30:07.571778Z,4.0,1.14,0,27,100,True,Nelson,66,98,0.0,0,671,2,5.4,151,0.1,False,0.19,1.07,0,0,1,1,294,0.96,143,0,i,0
19,Emile Smith Rowe,53,MID,Fulham,34,254.0,3.4,15,0.8,3,0.18,6261,15.93,0,,63,2024-08-02,269.0,160,4122459,0.8,0.0,0.8,-2,18,0.28,89,241.0,3478091,100.0,,0,150,61,3.70,565,0.1,,9,1201,2,2,70.1,1.35,1.12,176.0,64,0.2,78,88,0,2024-12-23T10:00:07.834003Z,,1.19,2,65,116,True,Smith Rowe,77,39,100.0,0,278,8,12.3,104,10.0,False,0.37,2.36,0,0,1,5,138,1.34,260,1,a,0
191,Joachim Andersen,42,DEF,Fulham,93,249.6,1.8,13,0.6,0,0.02,830,16.38,0,,74,2024-08-23,35.4,162,1609950,0.6,0.0,0.6,-3,23,0.03,288,58.0,214682,100.0,,0,581,101,0.43,384,0.01,,32,1143,3,0,34.6,1.81,1.02,60.0,58,0.1,318,144,1,2024-12-20T17:00:08.228623Z,,1.29,1,23,245,True,Andersen,72,93,100.0,0,289,3,5.5,242,3.9,False,0.16,0.25,0,0,3,2,91,0.18,119,0,a,0
239,Adama Traoré,47,MID,Fulham,154,201.6,2.4,11,1.2,1,0.29,1315,12.59,0,,51,2023-08-12,357.7,205,662691,1.2,0.0,1.2,-3,14,0.54,199,200.0,758641,,,0,329,38,5.73,483,0.25,,48,955,3,3,83.3,1.32,1.04,272.0,86,0.3,49,213,0,,,1.19,1,48,64,True,Adama,41,83,,0,213,3,10.2,80,1.7,False,0.28,3.12,0,0,2,3,95,2.61,205,0,a,0
240,Andreas Hoelgebaum Pereira,50,MID,Fulham,203,212.4,2.6,16,1.8,2,0.22,536,15.46,0,1.0,34,2022-07-11,550.4,193,404231,1.8,0.0,1.8,-5,18,0.41,171,30.0,138756,100.0,1.0,0,193,12,5.69,106,0.19,,61,1243,5,3,98.2,1.3,1.16,219.0,78,0.4,14,119,0,2024-12-14T22:00:08.101494Z,1.0,1.12,2,50,83,True,Andreas,54,73,100.0,0,164,1,10.0,54,1.1,False,0.29,3.04,1,0,6,4,72,2.65,230,0,a,0
241,Calvin Bassey,45,DEF,Fulham,257,320.6,2.0,20,2.2,0,0.02,447,24.15,0,,63,2023-07-28,54.7,108,62392,2.2,0.0,2.2,0,28,0.03,260,157.0,73335,100.0,,0,374,79,0.57,216,0.01,,96,1800,0,0,43.2,1.4,1.0,57.0,40,0.5,284,65,0,2024-12-09T09:30:06.333045Z,,1.21,1,40,251,True,Bassey,76,86,100.0,0,126,0,8.9,203,0.5,False,0.15,0.39,0,0,5,3,37,0.18,211,0,a,0
242,Steven Benda,40,GKP,Fulham,282,0.0,0.0,0,0.0,0,0.0,113,0.00,0,,58,2023-08-30,0.0,525,32284,0.0,0.0,0.0,0,0,0.0,530,80.0,24707,,,0,632,37,0.00,19,0.0,,44,0,0,0,0.0,0.0,0.0,0.0,58,0.0,502,53,0,,,0.0,0,0,467,True,Benda,24,58,,0,432,0,0.0,524,0.4,False,0.0,0.00,0,0,0,0,47,0.00,0,0,a,0
243,Tom Cairney,48,MID,Fulham,559,95.4,1.2,2,1.6,1,0.02,27,4.91,0,,142,2015-07-07,141.7,316,5567,1.6,0.0,1.6,-2,7,0.24,378,243.0,3659,100.0,,0,284,112,0.99,21,0.22,,223,367,2,0,27.2,1.72,0.49,33.0,146,0.3,163,185,1,2024-12-02T00:00:08.212324Z,,1.2,1,18,290,True,Cairney,156,181,100.0,0,177,0,3.8,280,0.0,False,0.25,0.08,0,0,2,1,77,0.91,113,0,a,0
244,Timothy Castagne,42,DEF,Fulham,142,148.0,1.7,6,2.6,0,0.02,1329,9.53,0,,82,2023-08-29,78.0,254,260724,2.6,0.0,2.6,-3,13,0.06,301,21.0,189693,100.0,,0,580,68,0.39,630,0.04,,58,628,3,1,29.2,1.86,0.86,64.0,94,0.6,250,143,0,2024-10-18T17:30:07.030897Z,,1.37,0,19,242,True,Castagne,69,99,100.0,0,99,0,4.5,269,1.9,False,0.14,0.12,0,0,1,1,27,0.27,77,0,a,0
